,chr,start,end,name,strand,intronlength
47676,chr1,145440525.0,145440631.0,SJ14469_g3c=1_C=1_R1=3489_R2=3378,+,106.0
47895,chr1,145586691.0,145586803.0,SJ14533_g3c=1_C=1_R1=69_R2=48,-,112.0
50885,chr1,150049062.0,150049171.0,SJ15323_g3c=1_C=1_R1=129_R2=98,+,109.0
51760,chr1,150921754.0,150921842.0,SJ15618_g3c=0_C=1_R1=92_R2=95,+,88.0
52495,chr1,151261747.0,151261853.0,SJ15877_g3c=1_C=1_R1=82_R2=203,+,106.0
52746,chr1,151381057.0,151381169.0,SJ15962_g3c=1_C=1_R1=51_R2=120,-,112.0
53557,chr1,153903079.0,153903167.0,SJ16218_g3c=1_C=1_R1=83_R2=192,-,88.0
54093,chr1,154184854.0,154184933.0,SJ16373_g3c=1_C=1_R1=1494_R2=2687,-,79.0
54906,chr1,154965262.0,154965377.0,SJ16631_g3c=1_C=1_R1=125_R2=140,+,115.0
54983,chr1,155018329.0,155018435.0,SJ16652_g3c=1_C=1_R1=41_R2=61,-,106.0
55224,chr1,155145104.0,155145213.0,SJ16736_g3c=1_C=1_R1=460_R2=557,-,109.0
55633,chr1,155234341.0,155234435.0,SJ16896_g3c=1_C=1_R1=379_R2=542,-,94.0
56036,chr1,155295281.0,155295357.0,SJ17012_g3c=1_C=1_R1=101_R2=140,+,76.0
57706,chr1,156237974.0,156238080.0,SJ17525_g3c=1_C=1_R1=324_R2=291,-,106.0
59129,chr1,158615175.0,158615284.0,SJ17954_g3c=1_C=1_R1=104_R2=107,-,109.0
60073,chr1,161071961.0,161072076.0,SJ18240_g3c=1_C=1_R1=1466_R2=910,-,115.0
60391,chr1,161179978.0,161180093.0,SJ18362_g3c=1_C=1_R1=1012_R2=579,+,115.0
65855,chr1,185269015.0,185269130.0,SJ20095_g3c=1_C=1_R1=1069_R2=978,-,115.0
66117,chr1,186324690.0,186324766.0,SJ20167_g3c=1_C=1_R1=316_R2=206,-,76.0
67096,chr1,197091173.0,197091288.0,SJ20479_g3c=1_C=1_R1=72_R2=29,-,115.0
72774,chr1,222832999.0,222833075.0,SJ22437_g3c=1_C=1_R1=46_R2=59,+,76.0
75399,chr1,228296019.0,228296137.0,SJ23231_g3c=1_C=1_R1=45_R2=79,-,118.0
77084,chr1,235324382.0,235324488.0,SJ23760_g3c=1_C=1_R1=307_R2=356,-,106.0
79416,chr1,247040383.0,247040459.0,SJ24467_g3c=1_C=1_R1=113_R2=105,-,76.0
79939,chr1,249150621.0,249150712.0,SJ24618_g3c=1_C=1_R1=325_R2=345,-,91.0
81314,chr10,5808115.0,5808203.0,SJ112576_g3c=1_C=1_R1=2029_R2=1339,-,88.0
100462,chr10,75139712.0,75139788.0,SJ117668_g3c=1_C=1_R1=1294_R2=1197,-,76.0
100925,chr10,75528664.0,75528764.0,SJ117858_g3c=1_C=1_R1=595_R2=549,+,100.0
112256,chr10,133784291.0,133784367.0,SJ121756_g3c=1_C=1_R1=599_R2=377,-,76.0
113809,chr11,375773.0,375846.0,SJ122178_g3c=1_C=1_R1=131_R2=186,+,73.0
113812,chr11,376174.0,376250.0,SJ122180_g3c=1_C=1_R1=124_R2=126,+,76.0
113888,chr11,404135.0,404235.0,SJ122202_g3c=1_C=1_R1=110_R2=128,+,100.0
114065,chr11,489514.0,489587.0,SJ122271_g3c=1_C=1_R1=99_R2=194,+,73.0
116822,chr11,3800279.0,3800385.0,SJ123045_g3c=1_C=1_R1=446_R2=347,-,106.0
120599,chr11,6631266.0,6631378.0,SJ123952_g3c=1_C=1_R1=495_R2=458,+,112.0
120636,chr11,6636560.0,6636672.0,SJ123963_g3c=1_C=1_R1=87_R2=239,-,112.0
133228,chr11,62430631.0,62430707.0,SJ127710_g3c=1_C=1_R1=357_R2=284,-,76.0
138527,chr11,66259095.0,66259168.0,SJ129380_g3c=1_C=1_R1=105_R2=99,+,73.0
138991,chr11,66611111.0,66611229.0,SJ129568_g3c=1_C=1_R1=90_R2=149,+,118.0
142217,chr11,71944018.0,71944118.0,SJ130590_g3c=1_C=1_R1=358_R2=608,+,100.0
151068,chr11,118963985.0,118964058.0,SJ133687_g3c=0_C=0_R1=108_R2=166,+,73.0
197910,chr13,26975484.0,26975602.0,SJ148283_g3c=1_C=1_R1=65_R2=68,+,118.0
